@actorNr,@from,Denomination,StreetName,StreetNum,Postcode,City,CountryCode,Language,LegalForm,Building,Phone,Postbox,AuthorisationNr,VatNr,Website
02605,1960-01-01,Boiron,Rue de la Liberation,20,69110,Sainte-Foy-Lès-Lyon,FR,FR,,,,,,,
02606,1960-01-01,Takeda France,Cours Valmy,11-13,92800,Puteaux,FR,FR,SAS,Immeuble Pacific,,,,,
02607,1960-01-01,Aegerion Pharmaceuticals,Avenue Ledru Rollin,37-39,75012,Paris,FR,FR,,,,,,,
02608,1960-01-01,Lucane Pharma,Rue de Charonne,172,75011,Paris,FR,FR,,,,,,,
02609,1960-01-01,Laboratoires CTRS,Rue de l'Est,69,92100,Boulogne-Billancourt,FR,FR,,,+33 1 41 22 09 74,,,,
02610,1960-01-01,Linepharma France,Rue de Turbigo,55,75003,Paris,FR,FR,,,,,,,
02611,1960-01-01,Zydus France,Rue des Peupliers,25,92752,Nanterre,FR,FR,,ZAC des Hautes Pâtures,,,,,
03094,1960-01-01,Marklas Nederland,Beneluxlaan,2-B,3446GR,Woerden,NL,NL,BV,,,,,,
03095,1960-01-01,Vivus,Prins Bernhardplein,200,1097JB,Amsterdam,NL,NL,BV,,,,,,
03100,1960-01-01,Nuron Biotec,Strawinskylaan,1143,1077XX,Amsterdam,NL,NL,BV,Toren 11-C,,,,,
03101,1960-01-01,Hal Allergy Benelux,J.H. Oortweg,15,2333CH,Leiden,NL,NL,BV,,,,,,
03102,1960-01-01,Raptor Pharmaceuticals Europe,Naritaweg,165,1043BW,Amsterdam,NL,NL,BV,,,,,,
03684,1960-01-01,Dolorgiet,Otto-Von-Guericke Strasse,1,53757,Sankt Augustin,DE,DE,GmbH & CO. KG,,,,,,
03685,1960-01-01,Kulzer,Leipziger Strasse,2,63450,Hanau,DE,DE,GmbH,,,,,,
03686,1960-01-01,Virbac Tierarzneimittel,Rogen,20,23843,Bad Oldesloe,DE,DE,GmbH,,,,,,
03687,1960-01-01,Mediwound Germany,Eisenstrasse,5D,65428,Russelsheim,DE,DE,GmbH,,,,,,
03688,1960-01-01,Cheplapharm Arzneimittel,Ziegelhof,24,17489,Greifswald,DE,DE,GmbH,,,,,,
04037,1960-01-01,Italfarmaco,Viale Fulvio Testi,330,20126,Milano,IT,EN,SpA,,,,,,
05713,1960-01-01,Pharm V Solution,Pinner Road,,HA1 4HF,Middlesex,UK,EN,Ltd,Sage House 319,,,,,
05714,1960-01-01,Rockspring Healthcare,Chamberlayne Road,38-40,NW103JE,London,UK,EN,Ltd,,,,,,
05715,1960-01-01,Cardiome UK,Furzeground Way,1,UB11 1BD,Uxbridge,UK,EN,Ltd,Lakeside House - Stockley Park,,,,,
05716,1960-01-01,Ariad Pharma,Wellington Way,,KT13 0TT,Weybridge,UK,EN,Ltd,Brooklands Business Park Abbay house,,,,,
05718,1960-01-01,Abbott Healthcare Products,Vanwall Road,,SL6 4XE,Maidenhead,UK,EN,Ltd,Vanwall Business Park,,,,,
05720,1960-01-01,Dendreon UK,Chalton Street,41,NW1 1JD,London,UK,EN,Ltd,,,,,,
07029,1960-01-01,Statens Serum Institut,Artillerivej,5,2300,Copenhagen S,DK,EN,,,,,,,
07506,1960-01-01,Bavarian Nordic,Hejreskovvej,10A,3490,Kvistgaard,NO,EN,as,,,,,,
08536,1960-01-01,Laboratorios Casen-Fleet,Autovia de Logrono Km 13,300,50180,Utebo,ES,EN,SL,,,,,,
08537,1960-01-01,Laboratorios Velvian,C/Vitoria,9,9004,Burgos,ES,EN,SL,,,2E B,,,
08538,1960-01-01,Andres Pintaluba,Prudenci Bertrana,,43206,Reus,ES,EN,SA,,,,,,
08539,1960-01-01,Biomendi,Poligono Industrial de Bernedo S/N,,1118,Bernedo,ES,EN,SA,,,,,,
08540,1960-01-01,Genfarma Laboratorio,Avenue de la Constitucion,199,45950,Casarrubios Del Monte,ES,EN,SL,Pol. Ind. Monte Boyal,,,,,
09605,1960-01-01,Pharmaswiss Ceska Republika,Jankovcova,1569,17000,Prague 7,CZ,EN,SRO,,,2C,,,
09606,1960-01-01,Unimark Remedies,Belehradska,568,120 00,Praha 2 - Vinohrady,CZ,EN,SRO,,,92,,,
09703,1960-01-01,Celltrion Healthcare Hungary Kft.,Arpad Fefedelem utja,26-28,1023,Budapest,HU,EN,,,,,,,
