code,codeType,from,Synonym_Fr
0500033,CNK,2012-09-01,STRAMOINE                                 FOL.PDR.
0500041,CNK,2012-09-01,CAROTENE 100%
0500058,CNK,2012-09-01,CHLOROQUINE SULFATE
0500066,CNK,2012-09-01,ALLYL ISOTHIOCYANATE
0500074,CNK,2012-09-01,MERCUREUX AMINOCHLORURE
0500082,CNK,2012-09-01,CALCIUM (PANTOTHENATE DE) (= VITAMINE B5)
0500090,CNK,2012-09-01,AZULENE
0500116,CNK,2012-09-01,BADIANE                              FRUCT. CONFR.
0500132,CNK,2012-09-01,EUCALYPTUS                             FOL. CONFR.
0500140,CNK,2012-09-01,RUE OFFICINALE                               HERBA
0500157,CNK,2012-09-01,DIMETHYLPOLYSILOXANE 20 CST
0500165,CNK,2012-09-01,SALICYLIQUE ACID.              CRIST. (cfr 503722)
0500173,CNK,2012-09-01,VIT. D2 OLEUM 1% AMP. INJ. 1.5ML
0500181,CNK,2012-09-01,VIT. D3 OLEUM 1% AMP. INJ. 1.5ML
0500199,CNK,2012-09-01,CETEARETH-30
0500496,CNK,2012-09-01,METHYLCELLULOSE 540 CPS
0500520,CNK,2012-09-01,GLUCOSE MONOHYDRATE
0500538,CNK,2012-09-01,PENTAERITHRITYLE TETRANITRATE 10%
0500553,CNK,2012-09-01,HALOPERIDOL 2%
0500561,CNK,2012-09-01,ESTARINUM AB
0500579,CNK,2012-09-01,SUPPOCIRE AS2 X
0500645,CNK,2012-09-01,BROMHEXINE HCL
0500702,CNK,2012-09-01,MITOTANE
0500785,CNK,2012-09-01,DITERBUTYLNAPHTALENE DISULFONATE NA
0500827,CNK,2012-09-01,FURALTADONE HCL
0500835,CNK,2012-09-01,NA CITRATE AMP.190MG
0500843,CNK,2012-09-01,JABORANDI                                 EXTR. M.
0500959,CNK,2012-09-01,RAIFORT GRAND                                HERBA
0500975,CNK,2012-09-01,MUCOPOLYSACCHARIDE
0500991,CNK,2012-09-01,HYDROXYACETIQUE ACID.
0501031,CNK,2012-09-01,PRELE DES CHAMPS                        HERBA PDR.
0501148,CNK,2012-09-01,PIPERAZINE DI HCL
0501171,CNK,2012-09-01,OCTYL GALLATE
0501189,CNK,2012-09-01,PREDNISOLONE (ACETATE DE)
0501247,CNK,2012-09-01,TOLU SIR. DECUP.          EXTR. FL.
0501262,CNK,2012-09-01,UREE HYDROGENEPEROXYDE
0501296,CNK,2012-09-01,EPILOBE                                      HERBA
0501304,CNK,2012-09-01,LAURYL GALLATE
0501312,CNK,2012-09-01,CAROTENE SYNTH. PUR.
0501320,CNK,2012-09-01,EPHEDRINE DL BASE
0501379,CNK,2012-09-01,HAMAMELIS AQUA COSMET.
0501387,CNK,2012-09-01,THE DE JAVA                             HERBA PDR.
0501452,CNK,2012-09-01,ETHYLE GALLATE
0501478,CNK,2012-09-01,THERIAQUE DE VENISE
0501486,CNK,2012-09-01,NA HYDROXYDE PRO AN.
0501536,CNK,2012-09-01,FRAMBOISE AROMA                         NAT. FORTE
0501544,CNK,2012-09-01,ARLATON
0501551,CNK,2012-09-01,CERESINE
0501569,CNK,2012-09-01,DIETHYLENEGLYCOL MONOSTEARATE
0501577,CNK,2012-09-01,GELABASE
0501585,CNK,2012-09-01,MONTHYBASE
0501593,CNK,2012-09-01,SEDETOL
0501627,CNK,2012-09-01,AZORUBINE
0501635,CNK,2012-09-01,CETYLOLEYL ALC.
0501643,CNK,2012-09-01,NICETHAMIDE THIOCYANATE CA
0501668,CNK,2016-07-01,SPIRULINE
0501676,CNK,2012-09-01,POLYETHYLENE
0501684,CNK,2012-09-01,RUTINE
0501692,CNK,2012-09-01,LINOLEIQUE ACID.
0501718,CNK,2012-09-01,DEXAMETHASONE (PHOSPHATE SODIQUE DE)
0501726,CNK,2012-09-01,HARICOT COSSE                               NEBUL.
0501734,CNK,2012-09-01,CARBOXYMETHYLCELLULOSE NA 750 CPS
0501742,CNK,2012-09-01,SODIUM CARMELLOSE 500 MPS
0501759,CNK,2012-09-01,MENTHE POIVREE                         FOL. CONFR.
0501775,CNK,2012-09-01,AMILORIDE HCL
0501783,CNK,2012-09-01,GINKGO BILOBA                                EXTR.
0501809,CNK,2012-09-01,QUINIDINE PHENYLETHYLBARBITURATE
0501817,CNK,2012-09-01,TRIPROLIDINE HCL
0501825,CNK,2012-09-01,LIOTHYRONINE
0501858,CNK,2012-09-01,CRILL
0501890,CNK,2012-09-01,AEROSOL SOL.
0502005,CNK,2012-09-01,ABSINTHE                                HERBA PDR.
0502013,CNK,2012-09-01,ABSINTHE                                     HERBA
0502039,CNK,2012-09-01,ABSINTHE                                    TINCT.
0502047,CNK,2012-09-01,JOJOBA                                       OLEUM
0502054,CNK,2012-09-01,GOMME ARABIQUE PULV.
0502112,CNK,2012-09-01,THEOPHYL. DIETHYLENEDIAM. ETHANOATE
0502161,CNK,2012-09-01,ACETAMIDOPHENOL SALICYLATE
0502179,CNK,2012-09-01,ACETALDEHYDE
0502187,CNK,2012-09-01,ACETANILIDE
0502195,CNK,2012-09-01,ACETPHENARSINE
0502237,CNK,2012-09-01,ACETAZOLAMIDE
0502252,CNK,2012-09-01,ACETONE
0502286,CNK,2012-09-01,ACETYLCHOLINE CHLORURE
0502294,CNK,2012-09-01,ACETYLCYSTEINE
0502302,CNK,2012-09-01,ACETYLDIHYDROCODEINE HCL
0502393,CNK,2012-09-01,ACETYLGLUTAMINE
0502419,CNK,2012-09-01,ACETYLTANIN
0502450,CNK,2012-09-01,ACIDE ACETIQUE GLACIAL
0502518,CNK,2012-09-01,ACETYLASPARTIQUE ACID.
0502534,CNK,2012-09-01,ACETYLORTHOCRESOTINIQUE ACID.
0502542,CNK,2012-09-01,ACETYLSALICYLIQUE (ACIDE)
0502559,CNK,2012-09-01,ACETYLSALICYLIQUE ACID. CRIST. (cfr. 502542)
0502567,CNK,2012-09-01,ACETYLSALICYLIQUE ACID. 500MG CO.
0502625,CNK,2012-09-01,ACETYLSALICYLIQUE ACID. MICRON. (cfr 502542)
0502658,CNK,2012-09-01,ADENOSINE-3-MONO PHOSPHORIQUE ACID.
0502666,CNK,2012-09-01,ADENOSINE-5-MONO PHOSPHORIQUE ACID.
0502674,CNK,2012-09-01,ADENOSINE-5-TRI PHOSPHORIQUE ACID.
0502682,CNK,2012-09-01,ACIDE ALGINIQUE
0502690,CNK,2012-09-01,ALLYL ISOPROPYL BARBITURIQUE ACIDE
0502708,CNK,2012-09-01,AMINOACETIQUE ACID.
0502732,CNK,2012-09-01,MANDELIQUE ACID.
0502740,CNK,2012-09-01,ASPARTIQUE ACID. DL
0502757,CNK,2012-09-01,ASPARTIQUE (ACIDE)
0502765,CNK,2012-09-01,ACIDE BENZOIQUE
0502815,CNK,2012-09-01,ACIDE BORIQUE POUDRE
0502823,CNK,2012-09-01,SULFADIAZINE AG
0502880,CNK,2012-09-01,BORIQUEE UNG. 10% TUBE 20G
0502914,CNK,2012-09-01,EPIANDROSTERON
0502922,CNK,2012-09-01,BORIQUEE VAS. 10% TUBE 20G
0502930,CNK,2012-09-01,BORO-MENTHOLEE VAS. TUBE 20G
0502955,CNK,2012-09-01,BORIQUE ACID. PAILLETTES
0502963,CNK,2012-09-01,ANTHRANE RES.
0502989,CNK,2012-09-01,CAMPHORIQUE ACID.
0503003,CNK,2012-09-01,CHENODESOXYCHOLIQUE ACID.
0503011,CNK,2012-09-01,CHOLIQUE ACID.
0503037,CNK,2012-09-01,ACIDE CITRIQUE ANHYDRE
0503045,CNK,2012-09-01,ACIDE CITRIQUE MONOHYDRATE CRIST.
0503078,CNK,2012-09-01,ASCORBYL PALMITATE
0503086,CNK,2012-09-01,CUTINA F 545
0503094,CNK,2012-09-01,ACETARSOL NA
0503102,CNK,2012-09-01,THALIDOMIDE
0503110,CNK,2012-09-01,CLOFIBRATE
0503128,CNK,2012-09-01,ACIDE DEHYDROCHOLIQUE
0503177,CNK,2012-09-01,DESOXYRIBONUCLEIQUE ACID.
0503193,CNK,2012-09-01,FLUFENAMIQUE (ACIDE)
0503243,CNK,2012-09-01,FOLIQUE (ACIDE)
0503268,CNK,2012-09-01,FORMIQUE ACID.
0503276,CNK,2012-09-01,GALLIQUE ACID.
0503292,CNK,2012-09-01,GLUTAMIQUE ACID. L+
0503318,CNK,2012-09-01,GLUTAMIQUE ACID. HCL
0503326,CNK,2012-09-01,GLYCYRRHETIQUE ACID.
0503334,CNK,2012-09-01,ENOXOLONE
0503359,CNK,2012-09-01,"CHLORHYDRIQUE ACID. DIL. PE 27,4%"
0503367,CNK,2012-09-01,CHLORHYDRIQUE ACID. DIL.2O% PB5
0503375,CNK,2012-09-01,ACIDE DL LACTIQUE
0503441,CNK,2012-09-01,ACIDE NICOTINIQUE
0503458,CNK,2012-09-01,NICOTINIQUE ACID. AMP. 100MG
0503508,CNK,2012-09-01,NITRIQUE ACID. PB5
0503532,CNK,2012-09-01,NUCLEINIQUE ACID.
0503540,CNK,2012-09-01,ACIDE OLEIQUE
0503557,CNK,2012-09-01,OROTIQUE ACID.
0503565,CNK,2012-09-01,OXALIQUE ACID.
0503573,CNK,2012-09-01,PANGAMATE NA
0503581,CNK,2012-09-01,PARAMINOBENZOIQUE ACID.
0503599,CNK,2012-09-01,PARAMINOSALICYLIQUE ACID.                500MG CO.
0503607,CNK,2012-09-01,PARAMINOSALICYLIQ.ACID. DRAG. ENTER
0503615,CNK,2012-09-01,PHENYLMETHYLBARBITURIQUE ACID.
0503623,CNK,2012-09-01,ACIDE PHOSPHORIQUE CONCENTRE
0503656,CNK,2012-09-01,PICRIQUE ACID.
0503664,CNK,2012-09-01,PROPIONIQUE ACID.
0503672,CNK,2012-09-01,PYROGALLIQUE ACID.
0503680,CNK,2012-09-01,PYROLIGNEUX ACID.
0503698,CNK,2012-09-01,PYROLIGNEUX ACID. BRUT
0503706,CNK,2012-09-01,QUINIQUE ACID.
0503714,CNK,2012-09-01,RIBONUCLEIQUE ACID.
0503722,CNK,2012-09-01,SALICYLIQUE (ACIDE) (POUDRE)
0503797,CNK,2012-09-01,SALICYLSALICYLIQUE ACID.
0503805,CNK,2012-09-01,SILICE COLLOIDALE HYDRATEE
0503813,CNK,2012-09-01,ACIDE SORBIQUE
0503821,CNK,2012-09-01,ACIDE STEARIQUE
0503847,CNK,2012-09-01,SULFOSALICYLIQUE ACID.
0503854,CNK,2012-09-01,ACIDE SULFURIQUE 96% PH.EUR
0503862,CNK,2012-09-01,ACIDE TARTRIQUE
0503870,CNK,2012-09-01,CLOFIBRIQUE ACID.
0503896,CNK,2012-09-01,THIOGLYCOLIQUE ACID.
0503904,CNK,2012-09-01,ACIDE TRICHLORACETIQUE
0503912,CNK,2012-09-01,TRIIODOTHYROACETIQUE ACID.
0503920,CNK,2012-09-01,UNDECYLENIQUE (ACIDE)
0503995,CNK,2012-09-01,ACONIT                                        PDR.
0504027,CNK,2012-09-01,ACONIT                                       EXTR.
0504043,CNK,2012-09-01,ACONIT                                      TINCT.
0504068,CNK,2012-09-01,ACONITINE                    CRIST.
0504076,CNK,2012-09-01,ACONITINE  NITRATE
0504092,CNK,2012-09-01,ADENINE
0504100,CNK,2012-09-01,ADENOSINE
0504126,CNK,2012-09-01,ADENOSINE-5-TRIPHOSPHATE DI NATRIUM
0504159,CNK,2012-09-01,GRAISSE DE LAINE
0504175,CNK,2012-09-01,ADIPHENINE HCL
0504241,CNK,2012-09-01,ADONIS                                       HERBA
0504258,CNK,2012-09-01,ADONIS                                       EXTR.
0504266,CNK,2012-09-01,ADONIS                                   EXTR. FL.
0504274,CNK,2012-09-01,ADONIS                                      TINCT.
0504282,CNK,2012-09-01,SILICE COLLOIDALE ANHYDRE
0504316,CNK,2012-09-01,MARRON D' INDE FRUIT
0504332,CNK,2012-09-01,MARRON D' INDE ALCOL. STAB.
0504340,CNK,2012-09-01,MARRON D' INDE ECORCE
0504365,CNK,2012-09-01,MARRON D' INDE EXTRAIT SEC
0504373,CNK,2012-09-01,MARRON D' INDE EXTRAIT FLUIDE
0504381,CNK,2012-09-01,MARRON D' INDE EXTR. STAB.
0504399,CNK,2012-09-01,MARRON D' INDE TEINTURE
0504423,CNK,2012-09-01,AG EN FEUILLES
0504431,CNK,2012-09-01,ARGENT COLLOIDAL POUR USAGE EXTERNE
0504464,CNK,2012-09-01,AG IODURE COLLOIDAL
0504480,CNK,2012-09-01,ARGENT (NITRATE DE)
0504522,CNK,2012-09-01,AG NITRATE FONDU
0504530,CNK,2012-09-01,AGAR
0504548,CNK,2012-09-01,AGARIC BLANC
0504555,CNK,2012-09-01,AGARICIQUE ACID.
0504563,CNK,2012-09-01,AGREMOINE                                    HERBA
0504571,CNK,2012-09-01,AJMALINE
