code,from,to,Fr,Nl
18689,2016-10-01,,"lénograstime injection/perfusion 33,6 MUI","lenograstim injectie/infusie 33,6 MIE"
12856,2016-10-01,,"filgrastim injection/perfusion 12 MU / 0,2 ml","filgrastim injectie/infusie 12 ME / 0,2 ml"
12864,2016-10-01,,"filgrastim injection/perfusion 30 MU / 0,5 ml","filgrastim injectie/infusie 30 ME / 0,5 ml"
17202,2016-10-01,,"interféron alfa-2b injection/perfusion 25 MUI / 2,5 ml","interferon alfa-2b injectie/infusie 25 MIE / 2,5 ml"
17194,2016-10-01,2018-02-26,"interféron alfa-2b injection 18 MUI / 1,2 ml","interferon alfa-2b injectie 18 MIE / 1,2 ml"
17228,,,,
17210,2016-10-01,2018-02-26,"interféron alfa-2b injection 30 MUI / 1,2 ml","interferon alfa-2b injectie 30 MIE / 1,2 ml"
17178,2016-10-01,,"interféron alfa-2a injection 6 MUI / 0,5 ml","interferon alfa-2a injectie 6 MIE / 0,5 ml"
17186,2016-10-01,,"interféron alfa-2a injection 9 MUI / 0,5 ml","interferon alfa-2a injectie 9 MIE / 0,5 ml"
1032,2016-10-01,,"alginate + hydrogénocarbonate + carbonate oral 250 mg + 106,5 mg + 162,5 mg / 5 ml","alginaat + waterstofcarbonaat + carbonaat oraal 250 mg + 106,5 mg + 162,5 mg / 5 ml"
32417,2016-10-01,,zinc oral 50 mg,zink oraal 50 mg
13201,2016-10-01,,flunarizine oral 5 mg,flunarizine oraal 5 mg
1842,2016-10-01,,amoxicilline oral 1 g [CAVE solide/liq.],amoxicilline oraal 1 g [CAVE vast/vloeib.]
2824,2016-10-01,,aztréonam inhalé 75 mg,aztreonam inhalatie 75 mg
6312,2016-10-01,,chlortalidone oral 50 mg,chloortalidon oraal 50 mg
9431,2016-10-01,2017-06-29,dimétindène oral 1 mg,dimetindeen oraal 1 mg
27623,2016-10-01,,risédronate oral 5 mg,risedronaat oraal 5 mg
7609,2016-10-01,,caféine injection/perfusion 25 mg / 2 ml,coffeïne injectie/infusie 25 mg / 2 ml
10314,2016-10-01,,énalapril + lercanidipine oral 20 mg + 10 mg,enalapril + lercanidipine oraal 20 mg + 10 mg
7328,2016-10-01,,clopidogrel oral 75 mg,clopidogrel oraal 75 mg
23408,2016-10-01,,octocog alfa injection 2 000 UI,octocog alfa injectie 2 000 IE
24307,2016-10-01,,oxycodone oral 5 mg,oxycodon oraal 5 mg
1156,2016-10-01,,alizapride oral 50 mg,alizapride oraal 50 mg
711,2016-10-01,,afatinib oral 30 mg,afatinib oraal 30 mg
737,2016-10-01,,afatinib oral 50 mg,afatinib oraal 50 mg
1081,2016-10-01,2017-07-23,"aliskirène + hydrochlorothiazide oral 150 mg + 12,5 mg","aliskiren + hydrochloorthiazide oraal 150 mg + 12,5 mg"
2055,2016-10-01,,anastrozole oral 1 mg,anastrozol oraal 1 mg
15115,2016-10-01,,Groupe Movicol sol. oral,Groep Movicol oploss. oraal
3939,2016-10-01,,bivalirudine injection/perfusion 250 mg,bivalirudine injectie/infusie 250 mg
23804,,,,
7997,2016-10-01,,dabigatran oral 110 mg,dabigatran oraal 110 mg
12252,,,,
13755,2016-10-01,,formotérol inhalé 12 µg / 1 dos.,formoterol inhalatie 12 µg / 1 dos.
19901,2016-10-01,,losartan oral 50 mg [CAVE séc.],losartan oraal 50 mg [CAVE deelb.]
26195,2016-10-01,,"pramipexole oral 0,7 mg","pramipexol oraal 0,7 mg"
2915,2016-10-01,,baclofène oral 25 mg,baclofen oraal 25 mg
29124,2016-10-01,,spironolactone oral 50 mg,spironolacton oraal 50 mg
1560,2016-10-01,,amisulpride oral 100 mg / 1 ml,amisulpride oraal 100 mg / 1 ml
33266,2016-10-01,,capécitabine oral 300 mg,capecitabine oraal 300 mg
34553,2016-10-01,,articaïne + épinéphrine injection sous-muqueux 40 mg + 10 µg / 1 ml,articaïne + epinefrine injectie submucosaal 40 mg + 10 µg / 1 ml
8979,2016-10-01,,diazépam oral 5 mg,diazepam oraal 5 mg
15107,2016-10-01,,Groupe Klean-Prep poudre oral,Groep Klean-Prep poeder oraal
3756,2016-10-01,,bilastine oral 20 mg,bilastine oraal 20 mg
5389,2016-10-01,2017-09-29,"carvédilol oral 12,5 mg","carvedilol oraal 12,5 mg"
13318,,,,
29660,2016-10-01,,tadalafil oral 5 mg,tadalafil oraal 5 mg
21949,2016-10-01,,mométasone furoate crème cutané 1 mg / 1 g,mometason furoaat crème cutaan 1 mg / 1 g
778,2016-10-01,,agalsidase bêta perfusion 5 mg,agalsidase bèta infusie 5 mg
4275,2016-10-01,,bromhexine oral 2 mg / 1 ml,broomhexine oraal 2 mg / 1 ml
26302,2016-10-01,,pravastatine oral 40 mg,pravastatine oraal 40 mg
30437,,,,
14647,2016-10-01,,Ginkgo biloba oral 40 mg,Ginkgo biloba oraal 40 mg
12229,2016-10-01,,fébuxostat oral 80 mg,febuxostat oraal 80 mg
16345,2016-10-01,,ichtammol + titane oxyde + zinc oxyde pommade cutané 15 mg + 50 mg + 150 mg / 1 g,ichtammol + titaanoxide + zinkoxide zalf cutaan 15 mg + 50 mg + 150 mg / 1 g
34892,,,,
7070,2016-10-01,,clobazam oral 20 mg,clobazam oraal 20 mg
36061,2016-10-01,,bétaméthasone (dipropionate) + bétaméthasone (phosphate sodique) injection (libér. modifiée) 10 mg + 4 mg / 2 ml,betamethason (dipropionaat) + betamethason (natriumfosfaat) injectie (gereg. afgifte) 10 mg + 4 mg / 2 ml
34561,2016-10-01,,articaïne + épinéphrine injection sous-muqeux 40 mg + 5 µg / 1 ml,articaïne + epinefrine injectie submucosaal 40 mg + 5 µg / 1 ml
34520,2016-10-01,,"lidocaïne + épinéphrine injection sous-muqueux 20 mg + 12,5 µg / 1 ml","lidocaïne + epinefrine injectie submucosaal 20 mg + 12,5 µg / 1 ml"
